County,License Number,MSDE Program Type,Program Name,City Name,Zip Code,Participation Status,Draft Rating,Publishing Status,Published Rating,Published Rubric Version,Date Published,Expiration Date,Application Acceptance Date,Achievements,Accreditations,Alternative Pathways,Assigned Program Coordinator
Baltimore,116024,Family Childcare,Wanda McClary,Owings Mills,21117,Yes,2,Active,2,2,Nov 06 2023,Nov 05 2024,Jul 09 2014,,,No Additional Staff,Wendy Dantzler
Baltimore City,115979,Center,Kings Kid Early Lrn. Dev. Ctr.,Baltimore,21206,Yes,2,Active,1,3,Sep 07 2023,Sep 06 2024,Jul 09 2014,,,,Beth Snyder
Prince George's,115841,Family Childcare,Renee Dantzler,Clinton,20735,Yes,1,Active,1,2,Mar 20 2023,Mar 19 2024,Jul 10 2015,,,,Yvette Dodson
Montgomery,115808,Center,ABC Learning Center,Silver Spring,20904,Yes,3,Active,3,3,Aug 22 2023,Aug 21 2024,Nov 26 2014,,,,Trish Miller
Montgomery,115756,Center,His Little Lamb,Silver Spring,20905,Yes,1,Active,1,3,Jan 20 2023,Jan 20 2024,Oct 04 2014,,,,Trish Miller
Prince George's,115549,Center,Kids Club at Fairland Sports and Aquatics Complex,Laurel,20707,Yes,1,Active,1,2,Aug 22 2023,Aug 21 2024,Jan 26 2016,,,,Laura Suguiyama
Montgomery,258224,Family Childcare,Zakia Zamani,Germantown,20874,Yes,1,Active,1,2,Jul 31 2023,Jul 30 2024,Jun 12 2015,,,,Sally Gill
Anne Arundel,115451,Family Childcare,Tonya Johnson,Crofton,21114,Yes,3,Active,3,2,Jul 11 2023,Jul 10 2024,Apr 03 2015,,,No Additional Staff,Ann Evans
Prince George's,115142,Family Childcare,Agnes Raofu,Lanham,20706,Yes,3,Active,3,2,May 18 2023,May 17 2024,Aug 22 2013,,,No Additional Staff,Michelle Gray
Howard,115133,Center,Head Start Dasher Green,Columbia,21045,Yes,5,Active,5,3,Dec 28 2023,Dec 27 2024,Mar 28 2014,,,MSDE  | National Association for the Education of Young Children (NAEYC)  | Maryland Accreditation 2025-07-31,Allison Rudoy
Baltimore City,115128,Family Childcare,Betty LeCount,Baltimore,21206,Yes,2,Active,2,2,Jan 19 2023,Jan 19 2024,Jul 08 2013,,,NAFCC  | No Additional Staff,Beth Snyder
Anne Arundel,115093,Center,Play and Learn at Annapolis,Annapolis,21401,Yes,1,Active,1,3,Dec 05 2023,Dec 04 2024,Dec 03 2012,,,MSDE,Theresa Lutz
Saint Mary's,115036,Family Childcare,Julie Jackson,Hollywood,20636,Yes,1,Active,1,2,Feb 16 2023,Feb 16 2024,Apr 18 2014,,,,Beth Snyder
Baltimore City,259951,Large Family Childcare,Washington,Baltimore,21239,Yes,1,Active,3,2,Sep 06 2023,Sep 05 2024,May 01 2015,,,,Yvette Dodson
Baltimore,114948,Family Childcare,Stacy Shackelford-Thompson,Baltimore,21229,Yes,1,Active,1,2,Sep 20 2023,Sep 19 2024,Mar 20 2015,,,,Amy Brannock
Carroll,114930,Center,Playtime CCC at 140,Westminster,21157,Yes,1,Active,1,3,Feb 24 2023,Feb 24 2024,Dec 09 2014,,,,Sarah Thistle
Baltimore,114846,Family Childcare,Delois Lawrence,Baltimore,21207,Yes,1,Active,1,2,Sep 26 2023,Sep 25 2024,Dec 22 2014,,,,Carla Hillery
Baltimore,114845,Family Childcare,Earllen Rowe,Baltimore,21207,Yes,1,Active,1,2,Aug 28 2023,Aug 27 2024,Oct 20 2014,,,No Additional Staff,Michelle Gray
Montgomery,260030,Family Childcare,Sherry Lee,Germantown,20874,Yes,1,Active,1,2,Dec 13 2023,Dec 12 2024,Aug 23 2014,,,,Trish Miller
Washington,114771,Center,YMCA Williamsport Before/After,Williamsport,21795,Yes,2,Active,2,2,Jul 07 2023,Jul 06 2024,Nov 26 2014,,,,Sarah Thistle
Montgomery,114601,Family Childcare,Wanda Person,Silver Spring,20906,Yes,1,Active,1,2,Jul 31 2023,Jul 30 2024,Jul 14 2014,,,No Additional Staff,Carla Hillery
Howard,114504,Center,Hilltop Early Learning Center DBA: Hilltop Child Care Center,Clarksville,21029,Yes,5,Active,5,3,Aug 11 2023,Aug 10 2024,Feb 06 2015,,,MSDE  | Maryland Accreditation 2025-11-30,Trish Miller
Montgomery,114499,Family Childcare,Maria Payso,Montgomery Village,20886,Yes,5,Active,5,2,Nov 29 2023,Nov 28 2024,Dec 03 2012,,,NAFCC  | No Additional Staff  | National Association for Family Child Care (NAFCC) 2025-11-01,Sally Gill
Baltimore City,114370,Family Childcare,Vanessa Harris,Baltimore,21214,Yes,1,Active,1,2,Aug 22 2023,Aug 21 2024,Apr 25 2014,,,No Additional Staff,Michelle Gray
Frederick,114278,Center,Celebree Learning Center of Spring Ridge,Frederick,21701,Yes,3,Active,3,3,Mar 09 2023,Mar 08 2024,Mar 06 2015,,,,Laura Suguiyama
Prince George's,114093,Family Childcare,Calaura Christian,Lanham,20706,Yes,1,Active,1,2,Sep 07 2023,Sep 06 2024,Dec 27 2013,,,No Additional Staff,Michelle Gray
Charles,113976,Family Childcare,Pamela Lee,Waldorf,20602,Yes,1,Active,1,2,Sep 07 2023,Sep 06 2024,Nov 26 2014,,,,Ann Evans
Prince George's,113799,Family Childcare,DaShanta Washington,Forestville,20747,Yes,1,Active,1,2,Aug 21 2023,Aug 20 2024,Mar 28 2014,,,No Additional Staff,Michelle Gray
Prince George's,113794,Center,Milestones Enrichment Center,Laurel,20707,Yes,3,Active,3,3,Mar 23 2023,Mar 22 2024,Oct 04 2014,,,,Trish Miller
Frederick,257180,Large Family Childcare,Valerie Lavala,Frederick,21702,Yes,3,Active,3,2,Nov 03 2023,Nov 02 2024,Nov 08 2013,,,No Additional Staff,Karina Cortes Hudack
Baltimore City,113577,Family Childcare,Patricia Williams,Baltimore,21218,Yes,1,Active,1,2,Oct 19 2023,Oct 18 2024,Dec 22 2014,,,,Michelle Gray
Baltimore City,113451,Center,Achievements @ Kennedy Krieger,Baltimore,21211,Yes,5,Active,5,3,Jan 31 2023,Jan 31 2024,Mar 11 2014,Accredited Program 2026-05-31,Maryland Accreditation 2026-05-31,MSDE  | Maryland Accreditation 2026-05-31,Julie Mitchell
Wicomico,113443,Center,Richard Hazel Youth Center,Salisbury,21801,Yes,1,Active,1,2,Jan 27 2023,Jan 27 2024,May 29 2015,,,,Rachel Dorf
Montgomery,113432,Family Childcare,Rosa Rashid,Takoma Park,20912,Yes,1,Active,1,2,Aug 15 2023,Aug 14 2024,Nov 08 2013,,,No Additional Staff,Karina Cortes Hudack
Montgomery,258062,Large Family Childcare,Raminder Kaur,Silver Spring,20910,Yes,1,Active,1,2,Dec 01 2023,Nov 30 2024,Aug 25 2017,,,,Trish Miller
Baltimore City,113283,Family Childcare,Fransice McClain,Baltimore,21206,Yes,2,Active,2,2,Jun 06 2023,Jun 05 2024,Mar 28 2014,,,No Additional Staff,Beth Snyder
Baltimore,113127,Family Childcare,Nichelle Pratt,Baltimore,21208,Yes,1,Active,1,2,May 31 2023,May 30 2024,Jun 12 2015,,,,Sally Gill
Dorchester,112963,Family Childcare,Tammy Washington,Cambridge,21613,Yes,3,Active,3,2,Feb 06 2023,Feb 06 2024,Sep 28 2013,,,No Additional Staff,Trish Miller
Anne Arundel,112960,Family Childcare,Leslie Pinkney,Annapolis,21401,Yes,1,Active,1,2,Jun 20 2023,Jun 19 2024,Jan 17 2015,,,,Julie Mitchell
Carroll,112905,Center,Grace United Learning Center of Taneytown,Taneytown,21787,Yes,1,Active,1,3,Oct 19 2023,Oct 18 2024,Dec 04 2012,,,MSDE,Karina Cortes Hudack
Washington,112656,Family Childcare,Peggy Anderson,Hagerstown,21740,Yes,1,Active,1,2,Jul 07 2023,Jul 06 2024,Mar 28 2014,,,No Additional Staff,Jennifer Blandford
Baltimore City,112545,Family Childcare,Darlene McCoy,Baltimore,21215,Yes,1,Active,1,2,Jun 13 2023,Jun 12 2024,Apr 25 2014,,,,Nancy Gumbel
Harford,112331,Family Childcare,Karen Coonan,Kingsville,21087,Yes,1,Active,1,2,Jul 25 2023,Jul 24 2024,May 12 2014,,,,Nancy Gumbel
Dorchester,112325,Family Childcare,Hope Roberts,Hurlock,21643,Yes,3,Active,3,2,Oct 24 2023,Oct 23 2024,Jul 14 2014,,,No Additional Staff,Liana Vega-Hernandez
Prince George's,112138,Family Childcare,Ruthena Dorsey,Forestville,20747,Yes,2,Active,2,2,Dec 28 2023,Dec 27 2024,Jan 10 2014,,,No Additional Staff,Theresa Lutz
Baltimore City,111985,Center,One Step Up Inc.,Baltimore,21216,Yes,3,Active,3,3,Jan 17 2023,Jan 17 2024,May 01 2015,,,,Liana Vega-Hernandez
Montgomery,111809,Family Childcare,Hilda Pelaez,Gaithersburg,20877,Yes,1,Active,1,2,Jun 30 2023,Jun 29 2024,Jul 14 2014,,,No Additional Staff,Karina Cortes Hudack
Montgomery,111806,Family Childcare,Nagat Hamed,Gaithersburg,20879,Yes,3,Active,3,2,Mar 07 2023,Mar 06 2024,Nov 27 2012,,,No Additional Staff,Sally Gill
Baltimore,111747,Family Childcare,Audrey McDermott,Baltimore,21221,Yes,1,Active,1,2,Oct 17 2023,Oct 16 2024,Jul 14 2014,,,,Carla Hillery
Prince George's,111586,Family Childcare,Rachel Smith,Accokeek,20607,Yes,1,Active,1,2,Apr 05 2023,Apr 04 2024,May 29 2015,,,,Yvette Dodson
Montgomery,111552,Family Childcare,Arjumand Zubairi,Spencerville,20868,Yes,5,Active,5,2,Jun 13 2023,Jun 12 2024,Dec 03 2012,,,NAFCC  | No Additional Staff  | National Association for Family Child Care (NAFCC) 2025-07-01,Michelle Gray
Baltimore City,111115,Family Childcare,Darlene Abraham,Baltimore,21228,Yes,3,Active,3,2,Nov 27 2023,Nov 26 2024,Nov 27 2012,,,No Additional Staff,Karina Cortes Hudack
Prince George's,255924,Family Childcare,Elaine Smith,Upper Marlboro,20774,Yes,1,Active,1,2,Nov 08 2023,Nov 07 2024,Mar 20 2015,,,No Additional Staff,Carla Hillery
Montgomery,111044,Family Childcare,Jenny De La Oliva,Rockville,20853,Yes,5,Active,5,2,Oct 03 2023,Oct 02 2024,Nov 28 2012,Health and Wellness  | Quality Business Practices,,NAFCC  | National Association for Family Child Care (NAFCC) 2024-01-31,Nancy Gumbel
Prince George's,110959,Center,Blar-ney Child Development,Forestville,20747,Yes,2,Active,2,3,Dec 12 2023,Dec 11 2024,Sep 06 2013,,,,Julie Mitchell
Garrett,11-1710,Prekindergarten,Yough Glades Elementary,Oakland,21550,Yes,5,Active,5,1,Oct 17 2023,Oct 16 2024,Sep 18 2015,,,MSDE  | Maryland Accreditation 2025-06-30,Michelle Bruns
Garrett,11-1707,Prekindergarten,Broad Ford Elementary,Oakland,21550,Yes,4,Active,5,1,Jun 26 2023,Jun 25 2024,May 13 2016,,,MSDE  | Maryland Accreditation 2025-06-30,Michelle Bruns
Montgomery,110673,Family Childcare,Alexa Gonzalez,Silver Spring,20906,Yes,5,Active,5,2,Dec 05 2023,Dec 04 2024,Jun 12 2015,,,NAFCC  | No Additional Staff  | National Association for Family Child Care (NAFCC) 2025-07-01,Nancy Gumbel
Prince George's,110595,Family Childcare,Deanna Howell,District Heights,20747,Yes,1,Active,1,2,Sep 25 2023,Sep 24 2024,Dec 02 2013,,,,Michelle Gray
Prince George's,110570,Center,Kiddies Kollege Christian Center,Laurel,20708,Yes,2,Active,2,3,Feb 07 2023,Feb 07 2024,Feb 20 2015,,,,Sarah Thistle
Garrett,11-1501,Prekindergarten,Accident Elementary,Accident,21520,Yes,5,Active,5,1,Jun 26 2023,Jun 25 2024,Feb 02 2018,,,MSDE  | Maryland Accreditation 2025-06-30,Michelle Bruns
Washington,110336,Family Childcare,Angela Covington,Hagerstown,21740,Yes,3,Active,3,2,Mar 06 2023,Mar 05 2024,Jul 01 2013,,,No Additional Staff,Sally Gill
Garrett,11-1301,Prekindergarten,Grantsville Elementary,Grantsville,21536,Yes,5,Active,5,1,Aug 24 2023,Aug 23 2024,Apr 06 2016,,,MSDE  | Maryland Accreditation 2025-05-31,Michelle Bruns
Garrett,11-1202,Prekindergarten,Friendsville Elementary,Friendsville,21531,Yes,5,Active,5,1,Aug 24 2023,Aug 23 2024,May 27 2016,,,MSDE  | Maryland Accreditation 2025-05-31,Michelle Bruns
Baltimore,110186,Family Childcare,Pamela Funderburk,Baltimore,21244,Yes,5,Active,5,2,Aug 15 2023,Aug 14 2024,Jul 01 2013,Quality Business Practices  | Health and Wellness,,NAFCC  | No Additional Staff  | National Association for Family Child Care (NAFCC) 2025-11-01,Sally Gill
Baltimore City,110083,Center,Learning Ladder at Har Sinai Oheb Shalom Congregation,Baltimore,21208,Yes,3,Active,3,3,Jul 06 2023,Jul 05 2024,Jul 03 2013,,,,Julie Mitchell
Prince George's,110010,Center,Agape Early Childhood Learning Development Center,Brentwood,20722,Yes,1,Active,1,3,Feb 02 2023,Feb 02 2024,Mar 06 2015,,,,Sarah Thistle
Howard,257440,Center,The Young School Early Education Program,Columbia,21045,Yes,1,Active,1,3,Nov 30 2023,Nov 29 2024,Jun 26 2015,,,MSDE,Laura Suguiyama
Garrett,109780,Center,Overlook Child Development Center,Oakland,21550,Yes,5,Active,5,3,Nov 28 2023,Nov 27 2024,Dec 19 2012,,,Maryland Accreditation 2025-07-31,Allison Rudoy
Baltimore City,109771,Center,Milk and Honey Child Care Services,Baltimore,21229,Yes,3,Active,3,3,May 04 2023,May 03 2024,Nov 27 2012,,,,Jennifer Blandford
Harford,109709,Family Childcare,Barbara Smith,Jarrettsville,21084,Yes,1,Active,1,2,Jul 10 2023,Jul 09 2024,Aug 21 2015,,,,Michelle Gray
Baltimore,109669,Family Childcare,Wanda Roland,Baltimore,21206,Yes,5,Active,5,2,Mar 20 2023,Mar 19 2024,May 29 2015,,,No Additional Staff  | National Association for Family Child Care (NAFCC) 2025-07-01,Beth Snyder
Baltimore,109432,Center,Apple Tree Children's Center,Cockeysville,21030,Yes,1,Active,1,3,May 31 2023,May 30 2024,Jul 03 2013,,,,Julie Mitchell
Baltimore,109417,Center,Rising Sun Educational Learning Center,Baltimore,21207,Yes,1,Active,1,3,Feb 17 2023,Feb 17 2024,Oct 04 2014,,,,Trish Miller
Prince George's,109377,Family Childcare,Shola Hassan,Riverdale,20737,Yes,3,Active,3,2,Aug 07 2023,Aug 06 2024,Mar 06 2015,,,No Additional Staff,Trish Miller
Montgomery,109255,Center,Kids After Hours-Meadow Hall,Rockville,20851,Yes,3,Active,1,2,Jul 25 2023,Jul 24 2024,Mar 28 2014,,,,Rachel Dorf
Montgomery,109224,Center,Bar T at Spark Matsunaga Elementary School,Germantown,20874,Yes,1,Active,1,3,Jul 28 2023,Jul 27 2024,Dec 16 2013,,,,Amy Brannock
Baltimore City,109215,Center,Johns Hopkins Child Care and Early Learning Center,Baltimore,21231,Yes,1,Active,3,3,May 04 2023,May 03 2024,Apr 03 2015,,,National Association for the Education of Young Children (NAEYC),Sarah Thistle
Anne Arundel,109161,Family Childcare,Gaye Schaum,Millersville,21108,Yes,4,Active,4,2,Jul 14 2023,Jul 13 2024,Dec 04 2012,,,NAFCC  | No Additional Staff  | National Association for Family Child Care (NAFCC) 2025-07-01,Michelle Gray
Montgomery,109149,Center,KidsCo at  Waterslanding Elementary School,Germantown,20874,Yes,3,Active,3,2,May 18 2023,May 17 2024,Mar 06 2015,,,,Laura Suguiyama
Montgomery,109128,Center,Montgomery Child Care Beverly Farms @ Ivymount,Potomac,20854,Yes,3,Active,3,3,Aug 22 2023,Aug 21 2024,Nov 22 2013,,,,Nancy Gumbel
Montgomery,109089,Center,"KidsCo, Inc. at Flower Hill Elementary School",Gaithersburg,20879,Yes,3,Active,3,2,Dec 12 2023,Dec 11 2024,Mar 06 2015,,,,Laura Suguiyama
Montgomery,109069,Center,Wonders Child Care at  Bethesda,Bethesda,20814,Yes,1,Active,1,2,Jun 24 2023,Jun 23 2024,Jul 09 2014,,,,Rachel Dorf
Anne Arundel,109054,Center,Little Queens & Kings CCC,Severn,21144,Yes,1,Active,1,3,Dec 19 2023,Dec 18 2024,Mar 11 2014,,,,Jennifer Blandford
Charles,109044,Center,Our Ladys Little Christians,Waldorf,20602,Yes,1,Active,1,3,Jun 27 2023,Jun 26 2024,Mar 28 2014,,,,Jennifer Blandford
Anne Arundel,108843,Center,YMCA at Millersville ES,Millersville,21108,Yes,1,Active,1,2,Oct 31 2023,Oct 30 2024,Aug 23 2014,,,,Liana Vega-Hernandez
Prince George's,108813,Family Childcare,Olufolake Soniregun,Laurel,20707,Yes,1,Active,1,2,Aug 10 2023,Aug 09 2024,Nov 27 2012,,,,Theresa Lutz
Harford,108703,Family Childcare,Donna DeBord,Bel Air,21014,Yes,1,Active,1,2,Jul 28 2023,Jul 27 2024,Jul 28 2014,,,,Trish Miller
Baltimore City,108635,Family Childcare,Nakia Jackson,Baltimore,21205,Yes,1,Active,1,2,Jan 04 2023,Jan 04 2024,Sep 28 2013,,,,Nancy Gumbel
Baltimore,108511,Center,Liberty Road Recreation & Parks AM/PM,Owings Mills,21117,Yes,1,Active,1,2,Jul 10 2023,Jul 09 2024,Aug 05 2016,,,,Liana Vega-Hernandez
Carroll,108481,Family Childcare,Margaret Knatz,Hampstead,21074,Yes,2,Active,2,2,Nov 28 2023,Nov 27 2024,Nov 28 2012,,,No Additional Staff,Sally Gill
Prince George's,108410,Family Childcare,Gerri-Lynn Ballard,Chapel Oaks,20743,Yes,1,Active,1,2,Oct 24 2023,Oct 23 2024,Jan 10 2014,,,,Theresa Lutz
Prince George's,108398,Family Childcare,Annie Burroughs,Temple Hills,20748,Yes,1,Active,1,2,Apr 18 2023,Apr 17 2024,Jun 12 2015,,,,Karina Cortes Hudack
Baltimore,108347,Family Childcare,Deena Gutridge,Baltimore,21221,Yes,5,Active,5,2,Jun 21 2023,Jun 20 2024,Oct 11 2013,Accredited Program 2025-07-01,National Association for Family Child Care (NAFCC) 2025-07-01,No Additional Staff  | National Association for Family Child Care (NAFCC) 2025-07-01,Rachel Dorf
Charles,108173,Family Childcare,Claressa Williams,Waldorf,20601,Yes,3,Active,3,2,Dec 12 2023,Dec 11 2024,Jun 12 2015,,,No Additional Staff,Sally Gill
Washington,108142,Center,YMCA Early Learning Center,Hagerstown,21742,Yes,3,Active,3,3,Jun 09 2023,Jun 08 2024,Oct 04 2014,,,,Sarah Thistle
Harford,107988,Family Childcare,Laurie Rossi,Havre De Grace,21078,Yes,1,Active,1,2,May 31 2023,May 30 2024,Aug 21 2015,,,,Carla Hillery
Prince George's,107926,Family Childcare,Barbara Chase,District Heights,20747,Yes,3,Active,3,2,Dec 18 2023,Dec 17 2024,Oct 03 2014,,,No Additional Staff,Ann Evans
Anne Arundel,107855,Center,Keenan Christian Learning Center,Pasadena,21122,Yes,1,Active,1,2,Jul 06 2023,Jul 05 2024,Oct 04 2014,,,,Laura Suguiyama
Baltimore,107798,Center,Unique Children's Learning Center,Randallstown,21133,Yes,1,Active,1,3,Aug 01 2023,Jul 31 2024,Aug 23 2014,,,,Rachel Dorf
Washington,258761,Family Childcare,Debbie Hartman,Hagerstown,21742,Yes,1,Active,1,2,Feb 22 2023,Feb 22 2024,Jun 26 2015,,,,Sally Gill
Talbot,107598,Family Childcare,Danielle Tapp-Hynson,Easton,21601,Yes,2,Active,2,2,Jan 24 2023,Jan 24 2024,Dec 16 2013,Quality Business Practices,,No Additional Staff,Wendy Dantzler
Montgomery,107459,Center,Bar-T @ Mill Creek E.S.,Rockville,20855,Yes,3,Active,3,2,May 03 2023,May 02 2024,Mar 11 2014,,,,Amy Brannock
Baltimore City,107440,Family Childcare,Sheila Williams,Baltimore,21217,Yes,1,Active,1,2,Jul 03 2023,Jul 02 2024,Mar 06 2015,,,,Sally Gill
Baltimore City,107380,Family Childcare,Patricia Edmondson-Lee,Baltimore,21217,Yes,2,Active,2,2,Aug 10 2023,Aug 09 2024,Dec 27 2013,,,No Additional Staff,Sarah Thistle
Harford,107328,Family Childcare,Maria Kiley,Bel Air,21015,Yes,1,Active,1,2,Jun 29 2023,Jun 28 2024,Dec 16 2013,,,No Additional Staff,Theresa Lutz
Wicomico,107288,Family Childcare,Sharon Mills,Salisbury,21801,Yes,1,Active,1,2,Oct 11 2023,Oct 10 2024,Sep 06 2013,,,,Sally Gill
Harford,107165,Center,Children's Christian Center,Bel Air,21014,Yes,2,Active,2,3,Dec 07 2023,Dec 06 2024,Jul 01 2013,,,,Jennifer Blandford
Caroline,107072,Family Childcare,Tina Lane,Preston,21655,Yes,1,Active,1,2,Dec 06 2023,Dec 05 2024,May 01 2015,,,,Yvette Dodson
Saint Mary's,107070,Center,Little Seedlings Christian Preschool and MDO,Leonardtown,20650,Yes,1,Active,1,3,Feb 10 2023,Feb 10 2024,Mar 28 2014,,,,Jennifer Blandford
Anne Arundel,107039,Family Childcare,Sandra Williams,Millersville,21108,Yes,1,Active,1,2,Jul 28 2023,Jul 27 2024,Nov 26 2014,,,,Sarah Thistle
Baltimore,106991,Family Childcare,Patricia Coby,Baltimore,21244,Yes,1,Active,1,2,Apr 03 2023,Apr 02 2024,May 12 2014,,,No Additional Staff,Rachel Dorf
Baltimore,106964,Family Childcare,Vannessa Carver,Cockeysville,21030,Yes,1,Active,1,2,Mar 14 2023,Mar 13 2024,Oct 03 2014,,,,Ann Evans
Prince George's,106729,Family Childcare,Kadijah Hughes,Laurel,20708,Yes,3,Active,3,2,Jun 15 2023,Jun 14 2024,Jun 26 2015,,,No Additional Staff,Sally Gill
Prince George's,106684,Center,Capital Child Care,Cheverly,20785,Yes,2,Active,2,3,Apr 18 2023,Apr 17 2024,Jul 01 2013,,,,Jennifer Blandford
Montgomery,106537,Family Childcare,Roqaiya Iqbal,Silver Spring,20910,Yes,1,Active,1,2,Jun 24 2023,Jun 23 2024,Sep 25 2017,,,,Ann Evans
Baltimore City,106424,Family Childcare,Mirdies Parrott,Baltimore,21217,Yes,1,Active,1,2,Dec 20 2023,Dec 19 2024,Jan 27 2014,,,No Additional Staff,Carla Hillery
Baltimore,106145,Family Childcare,Gwendolyn Thomas,Baltimore,21237,Yes,1,Active,1,2,Oct 26 2023,Oct 25 2024,Oct 03 2014,,,,Theresa Lutz
Baltimore,106135,Family Childcare,Garnetta Jobe,Baltimore,21244,Yes,1,Active,1,2,Sep 01 2023,Aug 31 2024,Jun 12 2015,,,,Amy Brannock
Prince George's,106108,Family Childcare,Roseta Young,Capitol Heights,20743,Yes,1,Active,1,2,Jul 06 2023,Jul 05 2024,Apr 25 2014,,,No Additional Staff,Amy Brannock
Baltimore,106094,Center,Randallstown Kid's Child Care Center,Randallstown,21133,Yes,1,Active,1,3,Sep 08 2023,Sep 07 2024,Nov 08 2013,,,,Laura Suguiyama
Howard,106061,Center,Childtime Children's Center,Ellicott City,21043,Yes,3,Active,3,3,Dec 20 2023,Dec 19 2024,Aug 23 2014,,,NECPA  | National Early Childhood Program Accreditation (NECPA) 2025-07-31,Sarah Thistle
Montgomery,106049,Center,Wonders Extended Day at Chevy Chase,Chevy Chase,20815,Yes,3,Active,3,2,Sep 01 2023,Aug 31 2024,Jul 09 2014,,,,Rachel Dorf
Baltimore City,106047,Family Childcare,Kimberly Day,Baltimore,21212,Yes,3,Active,3,2,Aug 04 2023,Aug 03 2024,Sep 10 2013,,,No Additional Staff,Julie Mitchell
Montgomery,105929,Family Childcare,Razia Arthur,Germantown,20874,Yes,2,Active,2,2,Sep 05 2023,Sep 04 2024,Feb 20 2015,,,No Additional Staff,Theresa Lutz
Washington,105851,Center,YMCA Salem Avenue Elementary,Hagerstown,21740,Yes,2,Active,2,2,Jul 07 2023,Jul 06 2024,Nov 26 2014,,,,Sarah Thistle
Montgomery,105666,Family Childcare,Emily Yates,Germantown,20876,Yes,2,Active,2,2,May 05 2023,May 04 2024,Apr 17 2015,,,No Additional Staff,Yvette Dodson
Baltimore,105528,Center,Celebree Learning Center Perry Hall,Baltimore,21236,Yes,3,Active,3,3,Jun 01 2023,May 31 2024,Mar 06 2015,,,,Laura Suguiyama
Charles,105393,Family Childcare,Tracy Booker,Waldorf,20601,Yes,2,Active,2,2,Sep 29 2023,Sep 28 2024,Jan 24 2014,,,No Additional Staff,Carla Hillery
Prince George's,105380,Center,Largo Park Early Learning Center,Largo,20774,Yes,4,Active,4,3,May 19 2023,May 18 2024,Nov 27 2012,,,NECPA  | National Early Childhood Program Accreditation (NECPA) 2025-05-31,Rachel Dorf
Howard,105332,Center,Celebree Learning Center,Woodstock,21163,Yes,1,Active,1,3,Apr 28 2023,Apr 27 2024,Mar 06 2015,,,,Laura Suguiyama
Montgomery,105189,Family Childcare,Susanna Simmons,Silver Spring,20902,Yes,1,Active,1,2,Oct 09 2023,Oct 08 2024,Mar 04 2016,,,,Yvette Dodson
Baltimore City,105039,Family Childcare,Stacey Samuels,Baltimore,21214,Yes,1,Active,1,2,Apr 13 2023,Apr 12 2024,Mar 06 2015,,,,Sally Gill
Anne Arundel,104893,Family Childcare,Tina Green,Severn,21144,Yes,1,Active,1,2,Jan 05 2023,Jan 05 2024,Aug 22 2013,,,,Rachel Dorf
Baltimore,104653,Center,Play Centers at Elmwood Elementary School,Baltimore,21206,Yes,3,Active,3,2,Aug 02 2023,Aug 01 2024,Dec 27 2013,,,,Theresa Lutz
Prince George's,104496,Family Childcare,Tonya Perry,District Heights,20747,Yes,1,Active,1,2,Dec 08 2023,Dec 07 2024,Dec 02 2013,,,,Beth Snyder
Prince George's,104487,Family Childcare,Jennifer Brown-Johnson,Springdale,20774,Yes,1,Active,1,2,Jul 21 2023,Jul 20 2024,Dec 02 2013,,,No Additional Staff,Michelle Gray
Prince George's,104121,Center,College Park Nursery School,College Park,20740,Yes,2,Active,2,3,May 23 2023,May 22 2024,Dec 11 2015,,,,Theresa Lutz
Baltimore,104088,Family Childcare,Darlene Young,Gwynn Oak,21207,Yes,1,Active,1,2,Sep 18 2023,Sep 17 2024,Nov 08 2013,,,No Additional Staff,Carla Hillery
Prince George's,103937,Family Childcare,Ernestine Perry,Lanham,20706,Yes,1,Active,1,2,Dec 04 2023,Dec 03 2024,Mar 06 2015,,,,Michelle Gray
Saint Mary's,103900,Center,Saint Mary's Sunshine Center,Leonardtown,20650,Yes,1,Active,1,3,Nov 14 2023,Nov 13 2024,Nov 27 2012,,,,Julie Mitchell
Anne Arundel,103833,Center,A Childs Garden,Severna Park,21146,Yes,5,Active,5,3,Aug 10 2023,Aug 09 2024,Jul 01 2013,Military Child Care in Your Neighborhood,,MSDE  | Maryland Accreditation 2025-07-31,Jennifer Blandford
Howard,103706,Family Childcare,Kelley Pitts,Columbia,21044,Yes,1,Active,1,2,Oct 11 2023,Oct 10 2024,May 13 2015,,,,Sally Gill
Harford,103610,Center,Hickory Child Development Center,Bel Air,21015,Yes,1,Active,1,3,Aug 29 2023,Aug 28 2024,Jan 10 2014,,,,Jennifer Blandford
Montgomery,103105,Center,Georgetown Hill Early School,Darnestown,20878,Yes,3,Active,3,3,Jul 05 2023,Jul 04 2024,May 01 2015,Accredited Program,,MSDE,Julie Mitchell
Harford,102933,Family Childcare,Renee Gray,Bel Air,21014,Yes,1,Active,1,2,May 22 2023,May 21 2024,Dec 22 2014,,,,Michelle Gray
Charles,102556,Center,Brawners Head Start,Indian Head,20640,Yes,1,Active,1,3,Feb 06 2023,Feb 06 2024,Jul 28 2014,,,,Allison Rudoy
Montgomery,102487,Family Childcare,Sharon Ashton,Montgomery Village,20886,Yes,0,Inactive,1,2,Dec 02 2022,Dec 02 2023,Dec 22 2014,,,,
Frederick,3-Oct,Prekindergarten,Waverley Elementary,Frederick,21702,Yes,5,Active,5,1,Sep 11 2023,Sep 10 2024,Sep 18 2015,,,MSDE  | Maryland Accreditation 2025-05-31,Michelle Bruns
